Date,EUR1M BGN Curncy
2015-05-12,1.121747
2015-05-13,1.135827
2015-05-14,1.141434
2015-05-15,1.145543
2015-05-18,1.131975
2015-05-19,1.115458
2015-05-20,1.109841
2015-05-21,1.111637
2015-05-22,1.101755
2015-05-25,1.09828
2015-05-26,1.087779
2015-05-27,1.090875
2015-05-28,1.095322
2015-05-29,1.099024
2015-06-01,1.093113
2015-06-02,1.115538
2015-06-03,1.127927
2015-06-04,1.124216
2015-06-05,1.111815
2015-06-08,1.12952
2015-06-09,1.12875
2015-06-10,1.132835
2015-06-11,1.126252
2015-06-12,1.12705
2015-06-15,1.128732
2015-06-16,1.125253
2015-06-17,1.134139
2015-06-18,1.136329
2015-06-19,1.13563
2015-06-22,1.134528
2015-06-23,1.11715
2015-06-24,1.120943
2015-06-25,1.120925
2015-06-26,1.117156
2015-06-29,1.124104
2015-06-30,1.115151
2015-07-01,1.105739
2015-07-02,1.10884
2015-07-03,1.111861
2015-07-06,1.1061
2015-07-07,1.101591
2015-07-08,1.10817
2015-07-09,1.104058
2015-07-10,1.116635
2015-07-13,1.100657
2015-07-14,1.101346
2015-07-15,1.095443
2015-07-16,1.087944
2015-07-17,1.083443
2015-07-20,1.082974
2015-07-21,1.09396
2015-07-22,1.093338
2015-07-23,1.09884
2015-07-24,1.098832
2015-07-27,1.109255
2015-07-28,1.106435
2015-07-29,1.098829
2015-07-30,1.09363
2015-07-31,1.098824
2015-08-03,1.095465
2015-08-04,1.088555
2015-08-05,1.091042
2015-08-06,1.092916
2015-08-07,1.097122
2015-08-10,1.102343
2015-08-11,1.104635
2015-08-12,1.116342
2015-08-13,1.115444
2015-08-14,1.111347
2015-08-17,1.108285
2015-08-18,1.10287
2015-08-19,1.112461
2015-08-20,1.124665
2015-08-21,1.13908
2015-08-24,1.162439
2015-08-25,1.152229
2015-08-26,1.131904
2015-08-27,1.125085
2015-08-28,1.11899
2015-08-31,1.121589
2015-09-01,1.132036
2015-09-02,1.123232
2015-09-03,1.112829
2015-09-04,1.115404
2015-09-07,1.11751
2015-09-08,1.12088
2015-09-09,1.12127
2015-09-10,1.128534
2015-09-11,1.134353
2015-09-14,1.132268
2015-09-15,1.127529
2015-09-16,1.129619
2015-09-17,1.14401
2015-09-18,1.130357
2015-09-21,1.119575
2015-09-22,1.112582
2015-09-23,1.119175
2015-09-24,1.123548
